Scientific_Name,Trade_Name
Paracetamol,Panadol
Paracetamol,Adol
Paracetamol,Paramol
Ibuprofen,Brufen
Ibuprofen,Nurofen
Warfarin,Marevan
Warfarin,Coumadin
Aspirin,Aspirin
Aspirin,Aspocid
Metformin,Glucophage
Metformin,Cidophage
Atorvastatin,Lipitor
Atorvastatin,Ator
Amlodipine,Norvasc
Amlodipine,Amlor
Omeprazole,Losec
Omeprazole,Risek
Amoxicillin/Clavulanate,Augmentin
Amoxicillin/Clavulanate,Curam
Azithromycin,Zithromax
Azithromycin,Azimex
Metronidazole,Flagyl
Metronidazole,Flazol
Salbutamol,Ventolin
Salbutamol,Butalin
Cetirizine,Zyrtec
Cetirizine,Allerzet
Clopidogrel,Plavix
Bisoprolol,Concor
Prednisolone,Prednisolone
Clarithromycin,Klacid
Lorazepam,Ativan
Simvastatin,Zocor
Lisinopril,Zestril
Levothyroxine,Euthyrox
Amoxicillin,Amoxil
Ciprofloxacin,Ciproxin
Furosemide,Lasix
Pantoprazole,Controloc
Gliclazide,Diamicron
