Scientific_Name,Side_Effect
Paracetamol,Nausea
Paracetamol,Skin rash
Paracetamol,Liver harm if the dose is too high
Ibuprofen,Stomach burn
Ibuprofen,Headache
Ibuprofen,Higher chance of bleeding
Warfarin,Bleeding
Warfarin,Bruises
Warfarin,Many drug interactions
Aspirin,Stomach pain
Aspirin,Bleeding
Aspirin,Allergy in some people
Metformin,Diarrhea
Metformin,Metallic taste
Metformin,Nausea
Atorvastatin,Muscle pain
Atorvastatin,Headache
Atorvastatin,Stomach upset
Amlodipine,Swollen feet
Amlodipine,Headache
Amlodipine,Flushed face
Omeprazole,Headache
Omeprazole,Gas
Omeprazole,Stomach pain
Amoxicillin/Clavulanate,Diarrhea
Amoxicillin/Clavulanate,Rash
Amoxicillin/Clavulanate,Nausea
Azithromycin,Diarrhea
Azithromycin,Stomach pain
Azithromycin,Nausea
Metronidazole,Metallic taste
Metronidazole,Nausea
Metronidazole,Do not take with alcohol
Salbutamol,Shaking
Salbutamol,Fast heartbeat
Salbutamol,Headache
Cetirizine,Sleepiness
Cetirizine,Dry mouth
Cetirizine,Headache
Clopidogrel,Bleeding
Clopidogrel,Bruises
Clopidogrel,Stomach upset
Bisoprolol,Tiredness
Bisoprolol,Slow heartbeat
Bisoprolol,Cold hands
Prednisolone,Stomach upset
Prednisolone,Mood change
Prednisolone,Higher blood sugar
Clarithromycin,Taste change
Clarithromycin,Diarrhea
Clarithromycin,Stomach pain
Lorazepam,Sleepiness
Lorazepam,Unsteady walk
Lorazepam,Memory problems
Simvastatin,Muscle pain
Simvastatin,Headache
Simvastatin,Stomach upset
Lisinopril,Dry cough
Lisinopril,Dizziness
Lisinopril,High potassium
Levothyroxine,Heart palpitations
Levothyroxine,Sweating
Levothyroxine,Weight loss
Amoxicillin,Diarrhea
Amoxicillin,Rash
Amoxicillin,Nausea
Ciprofloxacin,Nausea
Ciprofloxacin,Tendon pain
Ciprofloxacin,Dizziness
Furosemide,Passing urine often
Furosemide,Low potassium
Furosemide,Dizziness
Pantoprazole,Headache
Pantoprazole,Diarrhea
Pantoprazole,Stomach pain
Gliclazide,Low blood sugar
Gliclazide,Weight gain
Gliclazide,Nausea
